Country Name,Date Range,Number of Hits
Bolivia,201801,14
Bolivia,201802,10
Bolivia,201803,10
Bolivia,201804,13
Bolivia,201805,16
Bolivia,201806,10
Bolivia,201807,9
Bolivia,201808,12
Bolivia,201809,10
Bolivia,201810,17
Bolivia,201811,10
Bolivia,201812,14
Bolivia,201901,12
Bolivia,201902,8
Bolivia,201903,9
Bolivia,201904,14
Bolivia,201905,18
Bolivia,201906,5
Bolivia,201907,9
Bolivia,201908,20
Bolivia,201909,7
Bolivia,201910,15
Bolivia,201911,51
Bolivia,201912,13
Bolivia,202001,15
Bolivia,202002,8
Bolivia,202003,6
Bolivia,202004,8
Bolivia,202005,4
Bolivia,202006,12
Bolivia,202007,11
Bolivia,202008,9
Bolivia,202009,11
Bolivia,202010,19
Bolivia,202011,6
Bolivia,202012,5
Bolivia,202101,10
Libya,200901,12
Libya,200902,9
Libya,200903,23
Libya,200904,14
Libya,200905,14
Libya,200906,13
Libya,200907,8
Libya,200908,32
Libya,200909,66
Libya,200910,10
Libya,200911,8
Libya,200912,13
Libya,201001,13
Libya,201002,8
Libya,201003,15
Libya,201004,5
Libya,201005,6
Libya,201006,8
Libya,201007,26
Libya,201008,12
Libya,201009,11
Libya,201010,16
Libya,201011,12
Libya,201012,20
Libya,201101,20
Libya,201102,194
Libya,201103,586
Libya,201104,343
Libya,201105,278
Libya,201106,254
Libya,201107,134
Libya,201108,264
Libya,201109,240
Libya,201110,215
Libya,201111,118
Libya,201112,81
Libya,201201,62
Libya,201202,104
Libya,201203,69
Libya,201204,54
Libya,201205,50
Libya,201206,57
Libya,201207,60
Libya,201208,41
Libya,201209,241
Libya,201210,182
Libya,201211,104
Libya,201212,71
Libya,201301,84
